E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
4.570881896149e+03,2.788493611073e+06,5.870679328994e+03,5.870679328994e-19,1.790837575409e+06,4.510872257284e+00
4.786300923226e+03,2.853441608199e+06,6.063434549984e+03,6.063434549984e-19,1.807537006319e+06,4.546976775785e+00
5.000000000000e+03,2.916441927590e+06,6.246287907197e+03,6.246287907197e-19,1.821822905624e+06,4.581692581082e+00
5.011872336273e+03,2.919902126499e+06,6.256121977322e+03,6.256121977322e-19,1.822528827834e+06,4.583591147608e+00
5.248074602498e+03,2.987910374804e+06,6.445235733262e+03,6.445235733262e-19,1.834884504685e+06,4.620753659493e+00
5.495408738576e+03,3.057502380466e+06,6.634982770328e+03,6.634982770328e-19,1.845909856439e+06,4.658537024926e+00
5.754399373372e+03,3.128715008317e+06,6.823532993587e+03,6.823532993587e-19,1.855157487533e+06,4.697047433744e+00
6.025595860744e+03,3.201585980044e+06,6.974029518599e+03,6.974029518599e-19,1.852917593402e+06,4.736394335887e+00
6.309573444802e+03,3.276153894028e+06,7.116111013186e+03,7.116111013186e-19,1.847633864475e+06,4.776686442232e+00
6.606934480076e+03,3.352458245612e+06,7.258067473807e+03,7.258067473807e-19,1.841599197151e+06,4.818043835014e+00
6.918309709189e+03,3.430539447857e+06,7.399572996169e+03,7.399572996169e-19,1.834770438952e+06,4.860525744731e+00
7.244359600750e+03,3.510438852745e+06,7.540475686217e+03,7.540475686217e-19,1.827152617993e+06,4.904181969319e+00
7.585775750292e+03,3.592198772885e+06,7.671764206900e+03,7.671764206900e-19,1.816654668523e+06,4.949073041252e+00
7.943282347243e+03,3.675862503700e+06,7.802405030583e+03,7.802405030583e-19,1.805538386931e+06,4.995272643933e+00
8.317637711027e+03,3.761474346123e+06,7.932510051418e+03,7.932510051418e-19,1.793866088795e+06,5.042857910054e+00
8.709635899561e+03,3.849079629805e+06,8.062676805621e+03,8.062676805621e-19,1.781803668080e+06,5.091858735234e+00
9.120108393559e+03,3.938724736851e+06,8.208173258523e+03,8.208173258523e-19,1.772671969938e+06,5.142292286478e+00
9.549925860214e+03,4.030457126089e+06,8.350594504440e+03,8.350594504440e-19,1.762384168164e+06,5.194199309170e+00
1.000000000000e+04,4.124325357890e+06,8.491389614494e+03,8.491389614494e-19,1.751311272542e+06,5.247653166406e+00
1.047128548051e+04,4.220379119546e+06,8.614633294692e+03,8.614633294692e-19,1.736292233956e+06,5.302750150644e+00
1.096478196143e+04,4.318669251221e+06,8.727012394107e+03,8.727012394107e-19,1.718910012854e+06,5.359628745462e+00
1.148153621497e+04,4.419247772480e+06,8.835580483886e+03,8.835580483886e-19,1.700686360746e+06,5.418464214888e+00
1.202264434617e+04,4.522167909420e+06,8.922613212777e+03,8.922613212777e-19,1.678351327893e+06,5.479417111849e+00
1.258925411794e+04,4.627484122405e+06,9.005294098680e+03,9.005294098680e-19,1.655352376480e+06,5.542621586992e+00
1.318256738556e+04,4.735252134416e+06,9.084462891206e+03,9.084462891206e-19,1.631900366283e+06,5.608229337066e+00
1.380384264603e+04,4.845528960045e+06,9.143722636255e+03,9.143722636255e-19,1.605163750333e+06,5.676403340843e+00
1.445439770746e+04,4.958372935121e+06,9.204309855202e+03,9.204309855202e-19,1.579026924025e+06,5.747328382524e+00
1.513561248436e+04,5.073843746999e+06,9.250905565081e+03,9.250905565081e-19,1.550903057474e+06,5.821171626899e+00
1.584893192461e+04,5.192002465526e+06,9.296704870608e+03,9.296704870608e-19,1.523111325329e+06,5.898070898431e+00
1.659586907438e+04,5.312911574681e+06,9.343328172626e+03,9.343328172626e-19,1.495913593073e+06,5.978184106285e+00
1.737800828749e+04,5.436635004917e+06,9.391018467478e+03,9.391018467478e-19,1.469332249183e+06,6.061728586154e+00
1.819700858610e+04,5.563238166213e+06,9.397054114020e+03,9.397054114020e-19,1.436817365194e+06,6.148963508485e+00
1.905460717963e+04,5.692787981854e+06,9.402661469661e+03,9.402661469661e-19,1.404957813145e+06,6.240145293327e+00
1.995262314969e+04,5.825352922940e+06,9.411142657242e+03,9.411142657242e-19,1.374224250270e+06,6.335519299389e+00
2.000000000000e+04,5.832262916258e+06,9.411676017960e+03,9.411676017960e-19,1.372673875872e+06,6.340549441631e+00
2.089296130854e+04,5.961003043652e+06,9.420472352232e+03,9.420472352232e-19,1.344283378877e+06,6.435341667007e+00
2.187761623950e+04,6.099810017289e+06,9.428960464477e+03,9.428960464477e-19,1.314876607627e+06,6.539830121851e+00
2.290867652768e+04,6.241847173070e+06,9.437941157769e+03,9.437941157769e-19,1.286179630951e+06,6.649200196275e+00
2.398832919019e+04,6.387189533740e+06,9.423059037253e+03,9.423059037253e-19,1.254930289188e+06,6.763742743503e+00
2.511886431510e+04,6.535913853981e+06,9.398069709999e+03,9.398069709999e-19,1.223122163566e+06,6.883848188575e+00
2.630267991895e+04,6.688098659640e+06,9.373105211919e+03,9.373105211919e-19,1.192115443459e+06,7.009943281453e+00
2.754228703338e+04,6.843824287792e+06,9.339685089522e+03,9.339685089522e-19,1.160836020381e+06,7.142422882148e+00
2.884031503127e+04,7.003172927656e+06,9.308112448387e+03,9.308112448387e-19,1.130587719954e+06,7.281698701786e+00
3.019951720402e+04,7.166228662368e+06,9.255324657709e+03,9.255324657709e-19,1.098597203122e+06,7.428209998116e+00
3.162277660168e+04,7.333077511630e+06,9.199541663955e+03,9.199541663955e-19,1.067130193959e+06,7.582424377044e+00
3.311311214826e+04,7.503807475252e+06,9.146094582262e+03,9.146094582262e-19,1.036791668372e+06,7.744853260857e+00
3.467368504525e+04,7.678508577590e+06,9.094658587738e+03,9.094658587738e-19,1.007504558446e+06,7.916061512614e+00
3.630780547701e+04,7.857272912904e+06,9.004944970120e+03,9.004944970120e-19,9.748700276819e+05,8.096674171488e+00
3.801893963206e+04,8.040194691645e+06,8.913535470883e+03,8.913535470883e-19,9.430200466362e+05,8.287440939235e+00
3.981071705535e+04,8.227370287676e+06,8.825844611023e+03,8.825844611023e-19,9.124996912059e+05,8.489266587527e+00
4.168693834703e+04,8.418898286453e+06,8.722624792377e+03,8.722624792377e-19,8.813114694504e+05,8.703122980027e+00
4.365158322402e+04,8.614879534167e+06,8.606267771166e+03,8.606267771166e-19,8.497734121268e+05,8.929854157656e+00
4.570881896149e+04,8.815417187861e+06,8.506464678751e+03,8.506464678751e-19,8.208120550694e+05,9.170308908744e+00
4.786300923226e+04,9.020616766536e+06,8.392128474146e+03,8.392128474146e-19,7.913587057731e+05,9.425427464296e+00
5.000000000000e+04,9.219654583942e+06,8.277193219785e+03,8.277193219785e-19,7.636703621570e+05,9.681908175582e+00
5.011872336273e+04,9.230586203249e+06,8.271046931541e+03,8.271046931541e-19,7.621995636621e+05,9.696257235194e+00
5.248074602498e+04,9.445435898226e+06,8.152437152435e+03,8.152437152435e-19,7.341806729394e+05,9.983966623823e+00
5.495408738576e+04,9.665278772977e+06,8.016786643699e+03,8.016786643699e-19,7.055429132130e+05,1.028996171748e+01
5.754399373372e+04,9.890230325442e+06,7.884991163891e+03,7.884991163891e-19,6.781602004619e+05,1.061583145890e+01
6.025595860744e+04,1.012040868617e+07,7.743112028341e+03,7.743112028341e-19,6.508111505311e+05,1.096312972385e+01
6.309573444802e+04,1.035593467551e+07,7.600065634802e+03,7.600065634802e-19,6.242600370595e+05,1.133332062259e+01
6.606934480076e+04,1.059693186190e+07,7.461807508680e+03,7.461807508680e-19,5.989649272405e+05,1.172798024106e+01
6.918309709189e+04,1.084352662111e+07,7.328329482846e+03,7.328329482846e-19,5.748730245698e+05,1.214891431076e+01
7.244359600750e+04,1.109584819660e+07,7.199542252628e+03,7.199542252628e-19,5.519272941795e+05,1.259811151120e+01
7.585775750292e+04,1.135402876092e+07,7.045056829467e+03,7.045056829467e-19,5.278031817050e+05,1.307784078070e+01
7.943282347243e+04,1.161820347813e+07,6.893916177643e+03,6.893916177643e-19,5.047362693807e+05,1.359070748863e+01
8.317637711027e+04,1.188851056726e+07,6.748753526857e+03,6.748753526857e-19,4.828737673051e+05,1.413950571438e+01
8.709635899561e+04,1.216509136684e+07,6.608208303424e+03,6.608208303424e-19,4.620679462099e+05,1.472692108296e+01
