particle_id,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,K0_eV,speed_m_per_s,r_larmor_m,r_source_m,phi0_rad,theta_rad,theta_deg,angle_component_1_deg,angle_component_2_deg,guiding_center_x_m,guiding_center_y_m,guiding_center_r_m
1,-0.012986365830736682,0.008153274707397814,1.5,-6347325.2220247155,-11515348.405536607,-112532.78094793254,101633.92125302313,13149313.670372056,0.015458437421266178,0.015333674900167217,2.580958403964972,0.05750555932004737,3.2948258475779104,-3.2580941410562705,-0.490611795498536,0.0005511690683017555,0.0006913088438732238,0.0008841353173977152
2,0.001581160846612375,0.015251934838608448,1.5,-12678124.56542851,3599078.774185198,344239.840484446,102164.27419017736,13183577.344070503,0.015498718067767417,0.015333674900167217,1.4674958163071046,0.17524036088728634,10.040533079190933,9.927287701401093,1.503749782356746,-0.0026499447000070077,0.00034743106551161224,0.00267262329152048
3,-0.010641336815437987,0.011040087713619952,1.5,-10405815.389546312,-8374414.098171642,850105.0991591824,105295.95999043265,13384113.122974988,0.01573446951964012,0.015333674900167217,2.337805202687298,0.10960817504559894,6.280085830243969,5.112978924245319,3.6464948314037495,-0.000796309194867683,-0.0011930713735340479,0.0014344084621115553
4,0.012007012015055066,0.009536941250439862,1.5,-6747402.039385566,11855226.277223948,-2056343.236315721,111860.48870794293,13795012.572333056,0.016217526170623085,0.015333674900167217,0.6712439924442615,0.21417133356376294,12.271113505892169,8.747008684894608,-8.606396791972092,-0.0019300860050753977,0.0016046419079286788,0.0025100015218459328
5,-0.007943572510034592,0.01311568685665531,1.5,-10828630.806182358,-6496407.204115605,-3563793.9210160044,101198.19910728432,13121096.707583455,0.015425265336059282,0.015333674900167217,2.1153630518944584,0.2750946200716119,15.761760696858225,0.23452001773582848,-15.76001588280627,-0.0003063446861855633,0.00038546261289607205,0.0004923702800685662
6,0.0015019252780739114,-0.015259941231967465,1.5,12079630.674445514,1220612.7268527518,2383300.9214943065,89985.43708541268,12372853.185193604,0.014545624317776082,0.015333674900167217,4.8104957499015555,0.19385210401136796,11.10690740958244,-0.14701922403236473,11.105934339478251,6.696327726855335e-05,-0.0010590316229992722,0.0010611465775353646
7,-0.015259357937775773,-0.0015078399354233865,1.5,2493749.2192489165,-12423598.886676159,1272503.095469376,95332.31511756303,12735142.660901165,0.014971534698272025,0.015333674900167217,3.2400870242270208,0.1410833438734314,8.0834801635405,-5.687562465667146,5.744065176639885,-0.0006540765709375906,0.0014238314214589248,0.001566879726521222
8,0.0058195235665038075,-0.014186427718172216,1.5,11904648.22771929,6006338.2673168825,1507424.1108351757,105845.31697261064,13418981.938176325,0.015775461575290757,0.015333674900167217,5.10167255717043,0.1368536587129897,7.841137055178076,-4.449432462546038,6.456468158314437,-0.0012415753291351497,-0.00019122886113719442,0.0012562156563460287
9,-0.008238779532718035,0.01293228896040003,1.5,-12571214.901459647,-3552270.4308679225,3098428.0442143804,105954.20730487202,13425882.677048605,0.01578357413862994,0.015333674900167217,2.1380284894536135,0.3712809979197314,21.27283419420611,16.414398897995376,13.531481200211335,-0.0040627022456795015,-0.0018465309639712994,0.004462647884155106
10,-0.005205315049107962,-0.014423116209181299,1.5,12780328.542914167,-2298053.3549434864,1930271.449234609,101304.36587585257,13127977.557671396,0.015433354517985881,0.015333674900167217,4.366036125002161,0.22347940030694402,12.804426445702527,-9.580607000189152,8.495016545677405,-0.002503705302116541,0.0006015393702966075,0.0025749543401511646
